t(s),Date,Time,TxBat(V),VFR 2.4G(%),Rx VFR(%),VFR 900M(%),AccY(g),Altitude(m),RSSI 2.4G(dB),RX,RxBatt(V),AccX(g),AccZ(g),VSpeed(m/s),RSSI 900M(dB),RX,R.angle(°),P.angle(°),Power 900M(mW),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),VFAS(V),Current(A),Temp1(°C),Temp2(°C),Air speed(km/h),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2
0.0,2026-04-02,15:35:21.090,7.53,98,100,100,0.051,-0.77,58,0,8.17,0.104,1.178,0.02,73,0,-168.43,11.18,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
0.24,2026-04-02,15:35:21.330,7.53,99,100,100,0.054,-0.78,64,0,8.17,0.056,1.091,0.00,75,0,-167.30,12.45,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
0.51,2026-04-02,15:35:21.600,7.53,100,100,100,0.055,-0.82,68,0,8.17,0.124,1.089,-0.06,77,0,-166.56,13.13,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
0.78,2026-04-02,15:35:21.870,7.53,100,100,100,-0.066,-0.86,70,0,8.17,-0.021,0.878,-0.11,79,0,-166.81,9.30,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
1.05,2026-04-02,15:35:22.140,7.53,100,100,100,0.013,-0.83,72,0,8.17,0.091,0.948,-0.03,80,0,-167.85,9.00,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
1.31,2026-04-02,15:35:22.400,7.52,100,100,100,0.022,-0.82,72,0,8.17,-0.002,0.858,0.03,81,0,-166.88,11.48,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
1.57,2026-04-02,15:35:22.660,7.53,100,100,100,-0.032,-0.88,73,0,8.17,0.164,0.931,-0.08,84,0,-166.52,13.40,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
1.83,2026-04-02,15:35:22.920,7.52,100,100,100,-0.020,-0.84,74,0,8.17,0.053,1.026,0.06,84,0,-166.17,14.73,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
2.1,2026-04-02,15:35:23.190,7.52,100,100,100,0.124,-0.84,73,0,8.17,0.276,0.808,0.06,84,0,-165.78,13.87,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
2.37,2026-04-02,15:35:23.460,7.52,98,100,100,-0.009,-0.84,73,0,8.17,0.035,1.125,0.00,85,0,-165.71,14.58,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
2.64,2026-04-02,15:35:23.730,7.52,97,100,100,0.187,-0.87,72,0,8.17,0.041,1.288,-0.06,84,0,-165.88,10.45,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
2.9,2026-04-02,15:35:23.990,7.52,97,100,100,-0.059,-0.87,73,0,8.17,-0.109,0.975,-0.01,81,0,-164.67,6.55,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
3.17,2026-04-02,15:35:24.260,7.52,99,100,100,0.003,-0.86,73,0,8.17,-0.007,1.050,-0.01,79,0,-166.80,2.41,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
3.44,2026-04-02,15:35:24.530,7.52,100,100,100,0.003,-0.81,73,0,8.17,-0.049,0.768,0.08,79,0,-164.70,3.00,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
3.7,2026-04-02,15:35:24.790,7.52,100,100,100,0.105,-0.78,73,0,8.17,-0.032,1.093,0.13,77,0,-165.85,4.00,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
3.96,2026-04-02,15:35:25.050,7.52,100,100,100,-0.022,-0.73,74,0,8.17,-0.004,0.873,0.13,78,0,-165.76,4.78,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
4.22,2026-04-02,15:35:25.310,7.52,100,100,100,0.063,-0.76,74,0,8.17,0.107,1.085,0.02,82,0,-167.29,7.32,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
4.49,2026-04-02,15:35:25.580,7.52,100,100,100,0.038,-0.85,71,0,8.17,0.083,0.770,-0.11,87,0,-165.51,11.57,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
4.75,2026-04-02,15:35:25.840,7.52,100,100,100,0.007,-0.86,70,0,8.17,0.032,1.182,-0.07,89,0,-166.72,12.89,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
5.01,2026-04-02,15:35:26.100,7.52,100,100,100,-0.041,-0.84,68,0,8.17,0.002,0.781,-0.04,91,0,-166.48,10.96,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
5.27,2026-04-02,15:35:26.360,7.52,100,100,100,0.098,-0.86,66,0,8.17,0.099,1.208,0.00,90,0,-167.36,11.00,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
5.54,2026-04-02,15:35:26.630,7.52,99,100,100,-0.031,-0.86,64,0,8.17,0.054,0.807,-0.02,90,0,-165.63,11.28,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
5.8,2026-04-02,15:35:26.890,7.52,98,100,100,0.066,-0.89,66,0,8.17,0.064,1.280,-0.04,89,0,-165.21,11.03,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,0,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
6.06,2026-04-02,15:35:27.150,7.52,97,100,100,-0.020,-0.89,67,0,8.17,0.022,1.280,-0.02,87,0,-165.75,10.12,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
6.33,2026-04-02,15:35:27.420,7.52,98,100,100,0.096,-0.87,67,0,8.17,0.052,1.064,0.01,89,0,-166.21,10.72,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
6.59,2026-04-02,15:35:27.680,7.52,97,100,100,0.116,-0.92,64,0,8.17,-0.044,1.027,-0.06,90,0,-167.24,10.68,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
6.85,2026-04-02,15:35:27.940,7.52,96,100,100,0.020,-0.91,61,0,8.17,-0.092,1.121,-0.04,91,0,-166.22,9.33,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
7.11,2026-04-02,15:35:28.200,7.52,96,100,100,0.160,-0.90,62,0,8.17,0.002,0.998,0.01,91,0,-165.37,6.26,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
7.38,2026-04-02,15:35:28.470,7.52,98,100,100,0.098,-0.90,62,0,8.17,0.045,0.977,0.00,90,0,-164.94,5.28,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
7.64,2026-04-02,15:35:28.730,7.51,99,100,100,0.052,-0.86,62,0,8.17,0.031,0.996,0.06,86,0,-165.78,2.85,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
7.9,2026-04-02,15:35:28.990,7.52,98,100,100,0.142,-0.87,62,0,8.17,0.096,0.944,0.00,84,0,-166.60,1.93,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
8.17,2026-04-02,15:35:29.260,7.52,98,100,100,0.099,-0.87,61,0,8.17,0.099,1.058,-0.02,81,0,-165.65,2.15,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,10,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
8.43,2026-04-02,15:35:29.520,7.51,97,100,100,0.042,-0.91,61,0,8.17,0.093,0.926,-0.05,80,0,-166.32,-0.21,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
8.69,2026-04-02,15:35:29.780,7.52,96,100,100,0.049,-0.93,61,0,8.17,0.063,0.884,-0.07,80,0,-167.87,-1.45,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
8.95,2026-04-02,15:35:30.040,7.52,95,100,100,0.025,-0.97,62,0,8.17,-0.072,0.943,-0.11,80,0,-172.92,-3.55,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
9.21,2026-04-02,15:35:30.300,7.51,96,100,100,-0.010,-0.98,64,0,8.17,-0.028,0.943,-0.08,83,0,-173.97,-2.93,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
9.48,2026-04-02,15:35:30.570,7.51,96,100,100,0.048,-1.08,65,0,8.17,-0.008,0.988,-0.18,83,0,-175.07,-1.21,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
9.75,2026-04-02,15:35:30.840,7.52,97,100,100,0.057,-1.18,67,0,8.17,-0.036,1.017,-0.32,81,0,-175.02,-1.35,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
10.02,2026-04-02,15:35:31.110,7.52,97,100,100,0.033,-1.22,69,0,8.17,-0.052,1.028,-0.19,79,0,-175.26,-1.81,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
10.28,2026-04-02,15:35:31.370,7.52,98,100,100,0.094,-1.31,68,0,8.17,-0.051,0.985,-0.26,76,0,-175.11,-1.48,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
10.54,2026-04-02,15:35:31.630,7.53,98,100,100,-0.043,-1.41,67,0,8.17,-0.023,1.031,-0.34,76,0,-175.95,-1.21,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
10.8,2026-04-02,15:35:31.890,7.52,99,100,100,-0.061,-1.47,68,0,8.17,-0.052,0.932,-0.10,77,0,-176.25,0.09,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
11.06,2026-04-02,15:35:32.150,7.52,100,100,100,-0.002,-1.45,71,0,8.17,-0.042,1.029,-0.01,77,0,-176.47,0.81,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
11.33,2026-04-02,15:35:32.420,7.52,100,100,100,0.033,-1.40,73,0,8.17,-0.033,0.991,0.10,72,0,-176.41,1.36,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
11.59,2026-04-02,15:35:32.680,7.52,100,100,100,-0.005,-1.47,74,0,8.17,-0.034,0.986,-0.05,72,0,-176.35,1.88,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
11.86,2026-04-02,15:35:32.950,7.52,100,100,100,-0.003,-1.49,75,0,8.17,-0.040,0.979,-0.09,73,0,-176.34,2.10,10,0.00,4.20,4.21,4.20,4.20,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1023,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
12.14,2026-04-02,15:35:33.230,7.52,100,100,100,0.020,-1.54,75,0,8.17,-0.034,0.982,-0.11,72,0,-176.28,2.48,10,0.00,4.20,4.21,4.20,4.21,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
12.41,2026-04-02,15:35:33.500,7.52,100,100,100,0.006,-1.55,75,0,8.17,-0.034,0.983,-0.13,76,0,-176.19,2.79,10,0.00,4.20,4.21,4.20,4.21,4.20,4.19,4.21,4.20,33.69,0.0,-30,-30,0.0,0,11,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0
